Data,Tipo,Descricao,Uf
2017-04-21,Nacional,Tiradentes,RJ
2017-05-01,Nacional,Dia do Trabalhador,RJ
2017-06-15,Nacional,Corpus Christi,RJ
2017-09-07,Nacional,Independência do Brasil,RJ
2017-10-12,Nacional,Padroeira do Brasil,RJ
2017-11-02,Nacional,Finados,RJ
2017-11-15,Nacional,Proclamação da República,RJ
2017-12-25,Nacional,Natal,RJ
2017-04-23,Estadual,Dia de São Jorge,RJ
2017-10-28,Estadual,Dia do Funcionário Público,RJ
2017-11-20,Estadual,Zumbi dos Palmares,RJ
2017-01-06,Comemorativa,Dia de Reis,RJ
2017-03-08,Comemorativa,Dia da Mulher,RJ
2017-04-16,Comemorativa,Páscoa,RJ
2017-04-19,Comemorativa,Dia do Índio,RJ
2017-04-22,Comemorativa,Descobrimento do Brasil,RJ
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,RJ
2017-05-14,Comemorativa,Dia das Mães,RJ
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,RJ
2017-06-12,Comemorativa,Dia dos Namorados,RJ
2017-06-24,Comemorativa,Dia de São João,RJ
2017-06-29,Comemorativa,Dia de São Pedro,RJ
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,RJ
2017-08-13,Comemorativa,Dia dos Pais,RJ
2017-10-15,Comemorativa,Dia do Professor,RJ
2017-01-01,Nacional,Confraternização Universal,RN
2017-02-28,Nacional,Carnaval,RN
2017-04-14,Nacional,Sexta-feira Santa,RN
2017-04-21,Nacional,Tiradentes,RN
2017-05-01,Nacional,Dia do Trabalhador,RN
2017-06-15,Nacional,Corpus Christi,RN
2017-09-07,Nacional,Independência do Brasil,RN
2017-10-12,Nacional,Padroeira do Brasil,RN
2017-11-02,Nacional,Finados,RN
2017-11-15,Nacional,Proclamação da República,RN
2017-12-25,Nacional,Natal,RN
2017-06-29,Estadual,Dia de São Pedro,RN
2017-10-03,Estadual,Mártires de Cunhaú e Uruaçuu,RN
2017-01-06,Comemorativa,Dia de Reis,RN
2017-03-08,Comemorativa,Dia da Mulher,RN
2017-04-16,Comemorativa,Páscoa,RN
2017-04-19,Comemorativa,Dia do Índio,RN
2017-04-22,Comemorativa,Descobrimento do Brasil,RN
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,RN
2017-05-14,Comemorativa,Dia das Mães,RN
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,RN
2017-06-12,Comemorativa,Dia dos Namorados,RN
2017-06-24,Comemorativa,Dia de São João,RN
